Final layout Boroowa 2019 field trial - TOS2,,,,,,,,,,
ID,ENTRY,ROW,RANGE,REP,Box,Order,,field packet stem id,Tanya's Mistake replacement,
Marasaki,109,31,6,2,3,48,4,ST50PKT0YXLV,,
Marlin,110,41,4,2,1,64,4,ST50PKT0YXM5,,
Marlin,110,42,1,1,2,61,3,ST50PKT0YXM4,,
Marnoo,111,13,2,1,1,20,3,ST50PKT0YXMG,,
Marnoo,111,15,5,2,3,23,4,ST50PKT0YXMH,,
Masoweiki,112,28,5,2,4,41,4,ST50PKT0YXMT,,
Masoweiki,112,29,1,1,1,43,3,ST50PKT0YXMS,,
Matador,113,21,2,1,1,32,3,ST50PKT0YXN3,,
Matador,113,68,4,2,4,100,4,ST50PKT0YXN4,,
MAZOWIECKI,114,13,1,1,1,19,3,ST50PKT0YXNF,,
MAZOWIECKI,114,42,6,2,2,66,4,ST50PKT0YXNG,,
Mestnij,115,16,4,2,4,22,4,ST50PKT0YXNS,,
Mestnij,115,37,2,1,1,56,3,ST50PKT0YXNR,,
Midas,116,13,6,2,1,24,4,ST50PKT0YXP3,,
Midas,116,43,2,1,3,62,3,ST50PKT0YXP2,,
MONTY,118,31,2,1,3,44,3,ST50PKT0YXPQ,,
MONTY,118,61,4,2,1,94,4,ST50PKT0YXPR,,
MONTY-028DH,119,22,6,2,2,36,4,ST50PKT0YXQ2,,
MONTY-028DH,119,61,2,1,1,92,3,ST50PKT0YXQ1,,
MYSTIC,120,26,3,1,2,39,3,ST50PKT0YXQC,,
MYSTIC,120,47,6,2,3,72,4,ST50PKT0YXQD,,
N01D-1330,121,28,1,1,4,37,3,ST50PKT0YXQP,,
N01D-1330,121,47,4,2,3,70,4,ST50PKT0YXQQ,,
N02D-1952,122,18,5,2,2,29,4,ST50PKT0YXR1,,
N02D-1952,122,20,2,1,4,26,3,ST50PKT0YXR0,,
NARENDRA,123,31,4,2,3,46,4,ST50PKT0YXRC,,
NARENDRA,123,33,2,1,1,50,3,ST50PKT0YXRB,,
NINDOO,124,2,2,1,2,2,3,ST50PKT0YXRN,,
